timestamp,controller_type,evtt,evsf,queue_length,gwsr,cvdi,reward
1.0,dqn,0.0,0,0.08,0.0000,0.0000,0.0000
2.0,dqn,0.0,0,0.00,0.0000,0.0000,0.0000
3.0,dqn,0.0,0,0.00,0.0000,0.0000,0.0000
4.0,dqn,0.0,0,0.00,0.0000,0.0000,0.0000
5.0,dqn,0.0,0,0.00,0.0000,0.0000,0.0000
6.0,dqn,0.0,0,0.00,0.0000,0.0000,0.0000
7.0,dqn,0.0,0,0.00,0.0000,0.0000,0.0000
8.0,dqn,0.0,0,0.00,0.0000,0.0000,0.0000
9.0,dqn,0.0,0,0.00,0.0000,0.0000,0.0000
10.0,dqn,0.0,0,0.00,0.0000,0.0000,0.0000
11.0,dqn,0.0,0,0.00,1.0000,0.0000,2.7223
12.0,dqn,1.0,0,0.00,1.0000,0.0000,5.4446
13.0,dqn,2.0,0,0.08,1.0000,0.0000,8.1607
14.0,dqn,3.0,0,0.00,1.0000,0.0000,10.8830
15.0,dqn,4.0,0,0.00,1.0000,0.0000,13.6053
16.0,dqn,5.0,0,0.00,1.0000,0.0000,16.3277
17.0,dqn,6.0,0,0.00,1.0000,0.0000,19.0500
18.0,dqn,7.0,0,0.00,1.0000,0.0000,21.7723
19.0,dqn,8.0,0,0.00,1.0000,0.0000,24.4946
20.0,dqn,9.0,0,0.00,1.0000,0.0000,27.2169
21.0,dqn,10.0,0,0.00,1.0000,0.0000,29.9393
22.0,dqn,11.0,0,0.08,1.0000,0.0312,32.6503
23.0,dqn,12.0,0,0.08,1.0000,0.0882,35.3564
24.0,dqn,13.0,0,0.08,1.0000,0.1667,38.0575
25.0,dqn,14.0,0,0.17,1.0000,0.2564,40.7540
26.0,dqn,15.0,0,0.08,1.0000,0.3571,43.4534
27.0,dqn,16.0,0,0.08,1.0000,0.4667,46.1494
28.0,dqn,17.0,0,0.08,1.0000,0.5833,48.8422
29.0,dqn,18.0,0,0.08,1.0000,0.7059,51.5316
30.0,dqn,19.0,0,0.08,1.0000,0.8333,54.2176
31.0,dqn,20.0,0,0.08,1.0000,0.9649,56.9004
32.0,dqn,21.0,0,0.17,1.0000,1.1167,59.5702
33.0,dqn,22.0,0,0.17,1.0000,1.2857,62.2334
34.0,dqn,23.0,0,0.17,1.0000,1.4697,64.8898
35.0,dqn,24.0,0,0.17,1.0000,1.6667,67.5397
36.0,dqn,25.0,0,0.17,1.0000,1.8750,70.1828
37.0,dqn,26.0,0,0.25,1.0000,2.0658,72.8314
38.0,dqn,27.0,0,0.17,1.0000,2.2625,75.4812
39.0,dqn,28.0,0,0.17,1.0000,2.4643,78.1260
40.0,dqn,29.0,0,0.17,1.0000,2.6705,80.7659
41.0,dqn,30.0,0,0.17,1.0000,2.8804,83.4007
42.0,dqn,31.0,0,0.17,1.0000,3.0938,86.0305
43.0,dqn,32.0,0,0.17,1.0000,3.3100,88.6553
44.0,dqn,33.0,0,0.17,1.0000,3.5288,91.2751
45.0,dqn,34.0,0,0.17,1.0000,3.7500,93.8900
46.0,dqn,35.0,0,0.17,1.0000,3.9732,96.4998
47.0,dqn,36.0,0,0.17,1.0000,4.1983,99.1046
48.0,dqn,37.0,0,0.17,1.0000,4.4250,101.7044
49.0,dqn,38.0,0,0.33,1.0000,4.6160,104.2359
50.0,dqn,39.0,0,0.17,1.0000,4.8077,106.4159
51.0,dqn,40.0,0,0.17,1.0000,5.0000,108.5919
52.0,dqn,41.0,0,0.17,1.0000,5.1929,110.7638
53.0,dqn,42.0,0,0.17,1.0000,5.3862,113.1718
54.0,dqn,43.0,0,0.17,1.0000,5.5800,115.7696
55.0,dqn,44.0,0,0.17,1.0000,5.7742,118.3635
56.0,dqn,45.0,0,0.17,1.0000,5.9688,120.9533
57.0,dqn,46.0,0,0.17,1.0000,6.1636,123.5391
58.0,dqn,47.0,0,0.33,1.0000,6.3647,126.1064
59.0,dqn,48.0,0,0.33,1.0000,6.5714,128.6677
60.0,dqn,49.0,0,0.33,1.0000,6.7833,131.2231
61.0,dqn,50.0,0,0.50,1.0000,6.9677,133.7829
62.0,dqn,51.0,0,0.50,1.0000,7.1615,136.3360
63.0,dqn,52.0,0,0.50,1.0000,7.3636,138.8825
64.0,dqn,53.0,0,0.50,1.0000,7.7250,139.9223
65.0,dqn,54.0,0,0.50,1.0000,8.1800,140.9555
66.0,dqn,55.0,0,0.50,1.0000,8.6550,141.9820
67.0,dqn,56.0,0,0.50,1.0000,9.1500,143.0018
68.0,dqn,57.0,0,0.33,1.0000,9.6100,145.5458
69.0,dqn,58.0,0,0.33,1.0000,10.0700,148.0848
70.0,dqn,59.0,0,0.33,1.0000,10.5000,150.6188
71.0,dqn,60.0,0,0.33,1.0000,10.9400,153.1477
72.0,dqn,61.0,0,0.33,1.0000,11.3750,155.6717
73.0,dqn,62.0,0,0.42,1.0000,11.8000,158.2099
74.0,dqn,63.0,0,0.33,1.0000,12.2000,160.7501
75.0,dqn,64.0,0,0.33,1.0000,12.4950,163.2860
76.0,dqn,65.0,0,0.33,1.0000,12.9250,165.8176
77.0,dqn,66.0,0,0.33,1.0000,13.2500,166.8449
78.0,dqn,67.0,0,0.33,1.0000,13.5500,167.8680
79.0,dqn,68.0,0,0.17,1.0000,13.7950,168.9264
